"POP_COMP","Population Component","REGIONTYPE","Geography Level","ASGS_2016","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"7","Overseas Arrivals","STE","States and Territories","7","Northern Territory","A","Annual","2018","2018",5024,,
"7","Overseas Arrivals","STE","States and Territories","7","Northern Territory","A","Annual","2019","2019",5170,,
"8","Overseas Departures","STE","States and Territories","7","Northern Territory","A","Annual","2017","2017",5059,,
"8","Overseas Departures","STE","States and Territories","7","Northern Territory","A","Annual","2018","2018",4266,,
"8","Overseas Departures","STE","States and Territories","7","Northern Territory","A","Annual","2019","2019",4452,,
"9","Net Overseas Migration","STE","States and Territories","7","Northern Territory","A","Annual","2017","2017",1845,,
"9","Net Overseas Migration","STE","States and Territories","7","Northern Territory","A","Annual","2018","2018",758,,
"9","Net Overseas Migration","STE","States and Territories","7","Northern Territory","A","Annual","2019","2019",718,,
"10","Estimated Resident Population","STE","States and Territories","7","Northern Territory","A","Annual","2017","2017",247517,,
"10","Estimated Resident Population","STE","States and Territories","7","Northern Territory","A","Annual","2018","2018",247058,,
"10","Estimated Resident Population","STE","States and Territories","7","Northern Territory","A","Annual","2019","2019",245929,,
"1","Births","STE","States and Territories","8","Australian Capital Territory","A","Annual","2017","2017",5599,,
"1","Births","STE","States and Territories","8","Australian Capital Territory","A","Annual","2018","2018",5365,,
"1","Births","STE","States and Territories","8","Australian Capital Territory","A","Annual","2019","2019",5475,,
"2","Deaths","STE","States and Territories","8","Australian Capital Territory","A","Annual","2017","2017",2056,,
"2","Deaths","STE","States and Territories","8","Australian Capital Territory","A","Annual","2018","2018",2167,,
"2","Deaths","STE","States and Territories","8","Australian Capital Territory","A","Annual","2019","2019",2066,,
"3","Natural Increase","STE","States and Territories","8","Australian Capital Territory","A","Annual","2017","2017",3543,,
"3","Natural Increase","STE","States and Territories","8","Australian Capital Territory","A","Annual","2018","2018",3198,,
"3","Natural Increase","STE","States and Territories","8","Australian Capital Territory","A","Annual","2019","2019",3409,,
"4","Internal Arrivals","STE","States and Territories","8","Australian Capital Territory","A","Annual","2017","2017",21352,,
"4","Internal Arrivals","STE","States and Territories","8","Australian Capital Territory","A","Annual","2018","2018",22161,,
"4","Internal Arrivals","STE","States and Territories","8","Australian Capital Territory","A","Annual","2019","2019",22405,,
"5","Internal Departures","STE","States and Territories","8","Australian Capital Territory","A","Annual","2017","2017",20122,,
"5","Internal Departures","STE","States and Territories","8","Australian Capital Territory","A","Annual","2018","2018",21603,,
"5","Internal Departures","STE","States and Territories","8","Australian Capital Territory","A","Annual","2019","2019",22599,,
"6","Net Internal Migration","STE","States and Territories","8","Australian Capital Territory","A","Annual","2017","2017",1230,,
"6","Net Internal Migration","STE","States and Territories","8","Australian Capital Territory","A","Annual","2018","2018",558,,
"6","Net Internal Migration","STE","States and Territories","8","Australian Capital Territory","A","Annual","2019","2019",-194,,
"7","Overseas Arrivals","STE","States and Territories","8","Australian Capital Territory","A","Annual","2017","2017",10328,,
"7","Overseas Arrivals","STE","States and Territories","8","Australian Capital Territory","A","Annual","2018","2018",10973,,
